Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
21450,21550,20600,20950,21740,21910,22342.5,16702.5,8351.25,393108,229268,240336.2,295061.25,295124.1,147562.05,82.89,1172156,-268.71,-105.92,-1350,-1099.67,-0.8986,-0.8949,0.4,0.4169,41.41,44.47,0.414,0.4308
20950,21250,20700,21100,21480,21755,22265,17054.17,8527.08,158771,212329.6,229192,292561.4,297770.28,148885.14,93.89,1330927,-317.26,-148.19,-450,-969.74,-0.8551,-0.875,0.5,0.4273,42.4,44.05,0.469,0.4384
20950,21450,20750,21050,21320,21690,22150,17405,8702.5,183239,205979,208608.7,291688.3,300824.27,150412.13,82.24,1147688,-355.67,-189.69,-600,-895.79,-0.8696,-0.8723,0.5,0.4364,39.16,43.08,0.4583,0.4424
21000,21050,20550,20900,21120,21595,22017.5,17753.33,8876.67,177330,215267,206071.6,283563.8,303779.77,151889.88,67.87,970358,-393.67,-230.48,-2950,-1306.63,-0.8955,-0.8839,0.4,0.4318,18.78,38.22,0.2136,0.3966
21000,21900,20950,21600,21120,21535,21922.5,18113.33,9056.67,246719,231833.4,210611,287038.75,307891.75,153945.88,79.33,1217077,-363.12,-257.01,-1400,-1325.31,-0.625,-0.7544,0.4,0.4278,27.66,36.1,0.36,0.3893
21400,22400,21350,22100,21350,21545,21910,18481.67,9240.83,274100,208031.8,218649.9,287582.45,312460.08,156230.04,95.77,1491177,-295.16,-264.64,-550,-1170.24,-0.2791,-0.5168,0.5,0.4369,36.46,36.17,0.4466,0.4008
22450,23800,22350,23000,21730,21605,21945,18865,9432.5,692218,314721.2,263525.4,308316.3,323997.05,161998.53,131.78,2183395,-166.76,-245.06,1300,-676.2,-0.2462,-0.3815,0.5,0.4447,53.86,39.71,0.6275,0.4461
23200,23400,22750,23200,22160,21740,22027.5,19251.67,9625.83,274276,332928.6,269453.8,309081.15,328568.32,164284.16,157.42,2457671,-48.3,-205.71,1350,-270.96,-0.1846,-0.283,0.6,0.4642,60.66,43.9,0.6311,0.4831
23250,23650,22850,23150,22610,21865,22102.5,19637.5,9818.75,282408,353944.2,284605.6,302821.1,333275.12,166637.56,125.66,2175263,41.07,-156.35,950,-26.76,-0.2,-0.2415,0.5,0.4686,61.69,47.46,0.5979,0.5061
23450,23600,23050,23400,22970,22045,22080,20027.5,10013.75,200005,344601.4,288217.4,265414.85,336608.53,168304.27,97.79,2375268,130.56,-98.97,1400,258.59,-0.1231,-0.1823,0.6,0.4851,67.19,51.41,0.6429,0.5334
23600,24750,23300,23900,23330,22340,22125,20425.83,10212.92,484544,386690.2,297361,268848.6,344684.27,172342.13,137.08,2859812,239.08,-31.36,1500,506.87,-0.2024,-0.1923,0.7,0.5119,69.53,55.03,0.65,0.5567
23850,24300,23100,24150,23560,22645,22200,20828.33,10414.17,300024,308251.4,311486.3,270339.15,349684.67,174842.33,170.64,3159836,341.31,43.17,2300,865.5,-0.1429,-0.1676,0.7,0.5354,67.63,57.55,0.7447,0.5943
24150,25000,24100,25000,23920,23040,22365,21245,10622.5,480141,349424.4,341176.5,274892.6,357687.02,178843.51,241.76,3639977,485.33,131.61,3100,1312.4,0,-0.0838,0.8,0.5685,73.51,60.74,0.7818,0.6318
