Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock
22700,84000,207500,38550,97700,39400,82500,143000,44000,152000,75200,6420,387500,17200,110000,131000,32350,89000,3760,502000,40800,6890,314000,28850,11100,59500,44200,214500,124000,33950,272500,27850,60500,72200,21742,4940,68500,201000,30650,6985,6940,281500,44200,241500,134000,182000,11600,34300,141000,43300,45100,65500,164500,65200,39250,382000,1302000,30350,16500,24000,657000,32850,163000,181500,26750,237000,15900,92700,68500,13300,24950,21050,35900,3925,110500,16350,10600,114000,86500,52000,10550,193000,225000,35350,25450,90200,93600,227000,58900,66200,197500,160000,103000,265000,90600,30200,490000,41800,28750
22600,84700,204500,38550,97100,40250,81700,141500,44100,155000,73400,6520,382000,17150,114000,134000,32400,89700,3650,498500,39500,6810,308000,28550,11100,58900,43400,214000,124000,34400,273000,27650,61200,71500,21533,4955,74000,195000,30800,7120,6910,284000,43500,239500,128000,197000,11600,33400,145500,43100,45300,66300,167500,65100,38900,379500,1269000,30500,16500,24300,656000,31950,164500,180500,26800,232500,16000,91600,68300,13150,24800,21200,35900,3990,111000,16650,10550,115500,86500,52300,10450,194000,226500,34900,25250,89300,91000,229500,58000,66400,191000,161500,103000,270000,91900,30050,492500,41900,28750
21800,82000,210000,37600,94700,40100,79600,142500,43500,150500,73500,6580,376500,16800,113000,125000,32050,90300,3630,500000,40350,6800,284000,27900,11050,57200,42550,214500,123500,34150,269000,27450,58200,69800,20195,4950,74000,194000,30300,7140,6850,281000,43850,237500,123500,191000,11600,33200,143000,43850,45000,66100,166500,64900,39300,350000,1250000,30100,16500,24400,640000,31700,159500,177500,27100,231500,15050,93400,67900,13050,24750,21350,36850,3910,107500,16550,10650,113000,86900,50300,10400,191500,226500,35000,25050,91300,90200,228000,53900,65600,187500,166000,106000,267500,90700,30350,479500,40400,28350
22000,82800,211000,38200,93500,40900,81000,146000,43600,152000,76200,6650,380000,16850,114000,125000,32200,87400,3660,507000,39650,6890,276000,28000,11050,56400,42500,221000,125000,35300,267000,28300,57400,70300,19777,4965,72200,201500,30000,7045,6750,281000,43950,237500,130000,188000,11600,33200,147000,44200,45700,66500,165000,65900,39150,337500,1258000,30100,16850,24700,636000,32500,159000,179500,27550,235500,15400,95100,69500,13250,25350,21150,37950,3980,108500,17250,10750,115500,87800,48000,10500,194000,229500,35250,25350,91100,90200,229500,52100,65400,189500,165000,102500,273500,89600,30800,484500,41000,28700
22100,84100,210500,38650,94000,41950,83800,143000,44500,155500,75800,6790,389000,17400,116500,126000,33200,87800,3690,514000,40350,7030,287000,28850,11400,57200,42550,224500,127500,36200,266000,28750,60400,72900,19902,5040,74000,205000,31550,6905,6880,288000,43800,235500,125000,194000,11650,33450,147500,43500,46400,67400,167000,67200,39900,343500,1262000,30800,17050,25400,655000,32950,162000,180000,28000,240500,14750,93900,69400,13350,25350,21500,37200,4010,110500,17350,10800,118000,88700,49650,10850,201000,229000,35400,25550,91400,90200,237000,53700,71000,195000,171000,104000,282500,88900,30800,495000,40000,29000
22350,84700,214000,39650,97900,42550,84500,139000,45000,158000,77200,6860,396500,17850,118500,132500,34100,89500,3490,519000,40500,7180,287000,29250,11350,59100,43200,226500,131000,37300,278500,28450,59900,71900,19944,5020,77400,210000,31850,6930,6920,288000,44250,237500,125000,202500,11650,33450,151000,44150,46550,68900,171000,67200,39800,335000,1296000,31350,17300,25550,649000,33200,163500,180000,27300,234500,14800,95100,69700,13550,25600,21950,36550,4040,113500,17950,10800,120500,88500,51000,10950,198000,232500,36350,25950,92800,89600,239500,52300,72600,197000,168000,105500,288500,91100,31000,491000,40000,29250
22450,86200,217500,38800,96300,42700,83200,136000,45500,151500,76400,6900,395000,17800,119000,131000,34450,87000,3445,524000,40650,7180,285000,29050,11300,58800,42900,226000,131000,37900,269500,27950,60600,71900,19819,4945,76800,206000,31450,6725,6910,287000,44500,242500,125000,194500,11500,33850,152500,43900,46550,69500,170500,67100,40150,336500,1253000,31050,17050,24650,644000,33200,162500,178500,27650,231000,14600,93200,71200,13400,25450,21900,36900,4015,112000,17800,10700,120500,87000,51200,11250,195000,232500,36350,25950,93600,88700,245000,53400,72300,196000,172000,102500,288500,91900,30900,494000,39750,29100
23100,90000,225000,40650,98700,43400,85100,142000,45400,152500,80900,7160,407000,19150,125000,134500,36000,97000,3530,535000,40800,7560,283500,30300,11950,60800,44500,240500,130500,38900,306500,29550,60700,73500,21240,5060,83200,223500,32650,6635,7240,294500,46700,249500,130000,212500,11600,35100,156000,46000,48350,74200,175500,69000,41200,348500,1349000,32300,17700,25900,646000,34950,165500,183000,28600,241000,14850,93500,73300,13700,26100,22550,38350,4275,117000,18300,11100,130000,88500,49600,11150,205000,237000,38100,26400,92600,90900,251500,54500,76100,209000,174000,108500,303000,96400,31550,483000,40100,30800
23600,91500,227000,41450,101000,42600,87600,143500,46000,148000,82900,7320,411000,19700,127500,137000,36650,101000,3610,541000,41000,7730,286000,30450,12200,62300,45500,241500,127000,36700,315500,30100,59300,74200,22160,5140,85800,233500,32750,6730,7210,299500,47550,250500,134500,223500,11600,35050,146000,45800,48600,75800,176500,70400,41000,351500,1368000,32550,18000,26300,643000,34800,166000,186000,28850,241000,15150,93600,73200,13800,26250,23000,38450,4280,112000,18700,11150,131500,89600,50300,11200,206000,238500,38300,26800,93800,90600,245500,54600,78900,216000,174000,111500,310500,94100,31850,452000,40550,31050
24000,91500,228000,41750,99300,41600,87000,146000,46000,148000,83300,7270,414500,19800,126000,133500,36250,99900,3590,537000,40400,7600,275500,30600,12100,61400,46600,244000,117000,37200,302500,30150,58700,73900,21867,5140,84800,238000,32450,6645,7210,295000,47350,251000,134500,219000,11600,35250,144500,46500,48400,74500,172500,70100,41400,344500,1343000,32650,18000,26400,632000,34900,165000,182000,28350,240500,15300,93700,73300,13800,26100,22600,38250,4240,110000,18800,11200,132000,87300,48850,11050,204000,236500,37700,26700,93300,87900,241000,52100,79300,214500,171500,111000,312000,93600,32150,438000,40250,30850
24150,91800,228000,41800,99900,41600,86400,145500,46200,147500,83700,7350,418000,20050,128500,136500,36900,103000,3645,538000,39300,7720,275500,30650,12250,62400,47350,247000,118000,37750,309000,30500,57300,73700,22453,5160,86300,204999,32050,6700,7220,294500,48300,249500,135500,225000,11550,35100,143500,46950,48700,74600,172500,71200,41300,354000,1387000,32800,17850,26400,630000,35000,168500,187500,28700,240500,15250,93000,73800,13650,26100,23300,38050,4285,112000,18850,11250,134500,87500,49100,11100,204000,236000,37850,26900,93800,86700,246000,51400,79700,221500,171000,113000,314500,94600,32300,438000,41800,30750
24150,92400,227000,42050,99000,41400,85400,144000,45900,148500,84100,7410,416000,19600,128000,134500,37150,108500,3595,544000,39350,7700,269500,30100,12150,61300,47500,241500,118500,35700,320500,30050,54200,72800,22913,5190,91200,204999,32350,6720,7250,294500,47900,250500,133500,236500,11550,35150,144500,48200,48850,73700,175000,69200,41050,333000,1406000,32950,17850,26600,631000,35050,168500,191000,28600,245000,15850,94000,73700,13500,26100,23100,38600,4310,107500,19050,11250,136500,89000,47750,11100,199500,235000,38150,26850,93100,87200,248000,50600,77700,217500,171000,116500,318000,95200,32650,437000,42650,31000
24600,92600,231500,41250,99200,41150,85400,145000,46300,147500,83900,7400,419500,19550,128000,133000,37400,107000,3590,542000,39650,7690,268500,29950,12150,60700,48150,241500,118500,35900,322000,30050,55100,73400,22996,5170,91600,204999,31600,6775,7230,297500,48000,247000,133000,236500,11600,35350,141500,48600,48300,73400,180500,69900,41300,329000,1405000,33000,17750,26950,632000,35050,171500,191500,28800,244000,15550,94300,73100,13050,26150,23450,39300,4310,108000,18800,11200,136000,89900,48350,11100,197000,236000,38150,26900,93900,84700,249500,51600,77800,218000,171000,114500,320000,98100,33200,436500,41850,30650
24200,92400,229000,41700,98200,41200,85700,145500,46300,148000,85500,7490,423000,20000,129000,133500,37650,105500,3615,546000,39650,7710,267500,30050,12250,59000,48150,242000,115000,36550,323500,30800,54800,73300,22662,5210,91000,204999,31650,6745,7220,299500,47900,247000,137000,234500,11600,35350,141500,49150,48250,72800,176500,69600,41500,328500,1422000,33300,18200,27050,619000,35500,170000,191500,29500,245500,15600,94100,73600,13100,26200,23950,38750,4370,107000,19000,11250,137500,92500,46950,11250,197500,237500,37900,27100,94300,84100,245000,51300,77400,218000,169500,112500,321000,98900,33950,434500,41500,30650
24450,92100,230000,40600,100500,41150,84600,145000,46500,151000,85300,7410,422000,20000,129000,135500,37350,107000,3630,541000,39650,7750,265500,29250,12300,60000,48450,242000,116000,36350,321500,30500,54400,73100,22704,5100,90300,204999,29050,6765,7210,296000,47850,240000,139500,234500,11550,35300,139000,48250,48700,72400,178000,68300,41850,333500,1411000,33200,17950,27050,610000,35350,167000,190500,29300,248000,15700,94100,73600,13150,26200,23650,38750,4345,107000,19000,11200,137500,92800,46750,11100,198000,236000,38000,27050,94400,84700,244000,52300,78300,219000,170500,111500,321000,98300,33750,435000,41000,30300
24050,91200,224500,40600,100500,40450,84100,145500,46700,154000,85700,7470,422500,19800,131500,134500,37200,106500,3505,534000,39550,7450,259000,29200,12050,60000,48000,238500,115000,36650,324000,29350,53800,71800,22829,5110,90000,204999,27400,6840,7100,298500,46700,233500,138000,232000,11650,34750,140000,48300,48150,70100,179500,66600,41750,332500,1404000,33400,17600,27200,614000,35450,167000,188000,29400,246500,15400,94100,72700,13200,26150,22900,37800,4300,109000,19100,11150,135000,89600,46750,11050,197500,234500,37650,26800,93400,83400,242000,52300,76100,209500,168000,110500,322500,96500,33100,440500,41900,30250
23950,90200,229000,38800,98900,40400,83600,143500,46400,148500,87200,7450,421500,19900,131000,132500,36700,102500,3520,525000,38950,7400,249000,28700,11950,59500,47400,237500,113500,35250,312500,28800,53700,70100,22829,5070,86400,204999,27200,6895,7090,292500,46800,229500,138000,220500,11600,34950,138500,48450,48300,69200,177500,66800,41350,325000,1343000,32750,17750,27250,608000,34900,165000,188000,29000,246000,15900,94700,72200,13100,26050,22450,37950,4345,107000,19300,11100,128500,88400,45500,10950,196000,231000,37850,26700,92300,83200,244500,51200,73600,204000,163000,105500,323000,89700,33000,436500,41700,30150
24100,90400,230500,38650,99000,40750,83600,143500,46100,145500,87400,7130,427500,19800,129500,132000,36350,99400,3595,525000,38650,7360,232500,28100,11900,58600,47900,234000,111500,35800,314500,28250,49750,71200,22954,5060,84200,204999,27850,7015,7180,288000,46500,231000,137500,212000,11450,35050,135500,49150,48600,69000,177000,66600,42200,306500,1324000,33100,18150,26950,608000,35350,164000,186000,29000,247000,15750,92700,72200,13300,26050,21950,38150,4320,106500,19350,11100,130000,90800,42850,10800,192000,232000,37600,26900,92900,81200,245000,51800,74100,205500,166500,106000,325000,89000,33350,420000,41700,30750
25050,90900,232500,37650,97400,41300,82600,143500,45200,137500,88100,6930,435000,18450,124000,125000,35600,97300,3450,525000,39150,7270,229000,27650,11800,56800,48550,228000,112000,35450,306500,28200,48050,71300,21993,5130,84200,204999,27700,6975,7330,286000,46150,229500,137000,214000,11500,34950,133500,51400,48800,69100,173000,67500,42000,302000,1345000,32450,18050,26000,604000,35100,159500,183000,28500,244500,15650,91800,71600,13450,26150,21450,38000,4250,105000,18850,11150,128000,91500,40750,10700,188500,232500,37150,26450,90800,80200,245000,51300,73700,203000,169500,106500,321500,87300,32900,408500,39700,30600
25600,91100,237000,39700,94000,42050,85200,147000,46100,141000,91900,7170,428000,19250,127500,128000,37300,99400,3585,540000,39650,7420,231500,29250,12200,55800,49750,232000,115500,36750,305000,29500,50200,72500,22453,5360,85700,204999,28450,7050,7430,292000,47000,234000,144500,222500,11500,35550,138500,52400,50500,70200,178000,70300,42750,311000,1343000,33700,18650,26800,594000,36600,160000,187000,29150,257000,16350,93000,72800,13800,26550,22050,37750,4410,108000,19200,11400,132000,91800,41700,10750,192500,233000,37800,27400,91500,80800,252500,52200,77500,210000,169500,107000,325500,89100,33750,419000,40500,31500
25350,90300,234000,39500,94300,41900,84100,147000,45300,142000,93400,7170,421500,18600,127500,127500,36800,94900,3635,538000,38800,7400,230000,29350,12150,55500,50200,231000,116000,36650,290000,29650,49800,71500,22160,5370,80800,204999,28650,7000,7350,290000,46600,233500,148000,207000,11600,35450,137500,51400,50100,69500,173000,69900,42100,307000,1249000,33900,19200,26600,579000,36550,154500,180500,28950,251000,16000,92700,72700,13600,26400,22350,37150,4380,106000,18800,11350,128500,90400,41850,10700,190500,231500,37500,27600,90800,79600,249500,50700,74600,209000,166500,105000,323500,87800,33550,412000,39050,31250
25450,92600,237000,41000,94500,42000,87800,148000,46100,139500,93500,7240,425500,19200,129500,127500,38050,95300,3780,548000,39000,7560,229000,30500,12450,55500,50800,237000,116000,37350,292500,30800,49850,71600,22829,5450,82300,204999,28550,6990,7490,296500,47150,241000,149500,206500,11650,36200,138000,52800,50300,71600,177500,71100,42750,311000,1263000,33950,18800,27500,565000,37100,152500,181500,29150,256500,16250,92500,73300,13800,26600,23000,37600,4500,107500,19250,11600,132500,90300,41750,10650,192500,234000,38100,28250,91300,79700,250000,49850,76200,216000,169000,104000,331000,90600,34250,422000,39050,31900
25900,93800,238500,41200,94700,42500,87800,152500,46300,139000,91900,7220,424000,18500,125500,126500,38150,94000,3745,549000,38900,7450,232000,30500,12500,55200,50100,236000,118000,37700,292500,31200,49350,71100,23289,5550,83200,204999,28900,6905,7470,293500,46550,245000,146500,207500,11650,35950,138500,52300,50000,70900,180000,71000,42600,314000,1266000,33800,18350,27350,541000,37350,152500,182500,29250,258000,16350,92500,73100,13850,26700,23300,37450,4460,107500,19300,11550,135500,90000,43000,10800,192000,234000,37850,28500,92500,80700,247500,50600,76000,218500,168500,105500,330000,90300,33750,428500,39950,32450
26950,96600,243500,42300,94100,44300,90500,155000,47300,140000,95300,7270,425000,18850,126500,125000,38350,90800,3790,554000,39250,7550,236000,31050,12700,55800,52300,236500,120500,38950,289000,31450,49250,73800,23832,5670,82700,204999,29000,6885,7660,296500,47650,252500,150000,200000,11600,36900,143000,53000,51600,72400,181000,72100,43350,317500,1261000,34050,18650,27850,541000,37850,153500,186500,29600,262000,16250,93800,74500,14200,27000,24050,38600,4545,108500,19200,11800,135500,93100,42750,11150,194500,238000,38600,27800,93700,81000,256000,51000,77500,224000,169500,105500,338000,92400,34350,433000,40000,33550
27150,96400,243000,42450,96000,44350,88800,154500,47300,140000,96100,7190,425500,18850,126500,125500,36800,87300,3890,558000,39350,7700,233000,30900,12950,56500,52800,238500,120500,38850,281000,31500,47500,74400,23665,5670,81300,204999,28750,7000,7620,288000,48050,250000,151000,195000,11650,37500,144500,53800,52200,72400,184000,71800,44100,310500,1258000,33950,18850,27900,541000,37900,153500,183500,29650,262500,16350,94300,74400,14100,26700,24300,38550,4550,109000,19250,11900,134000,91900,41700,11250,195500,237500,39100,27750,94500,80300,257500,50500,78000,228500,168500,106000,343000,90200,35150,429500,39800,33450
27950,97000,247000,42650,94800,45100,90800,150000,47099,134500,95200,7030,427500,18850,124500,123000,38249,83800,4060,555000,39550,7780,222500,31900,13300,55400,54500,243000,122500,39000,277500,31900,46050,74900,23331,5910,81000,204999,27900,7040,7770,301000,49400,243000,155000,196500,11900,38650,148000,52600,53200,73200,180999,71300,45750,308000,1257000,33700,19300,27400,537000,38850,148000,180500,30600,262500,15850,97600,76600,14350,27400,24850,39650,4500,106500,18950,12500,136500,92100,40250,11400,194500,244500,39600,27650,95000,79200,261000,49750,78000,230500,165500,106000,360000,90400,35500,413500,38700,34150
27900,96000,249500,42450,93800,44700,91000,150000,46334,135500,97200,7110,429500,18850,125500,121000,38102,84000,3995,549000,39450,7700,225000,31650,13100,55000,54500,240000,122000,38750,277500,31900,46100,74900,23414,5750,83000,204560,28100,6975,7850,298545,49450,242000,154000,198000,11900,38250,145500,54000,53200,73000,176701,71900,45550,312500,1259000,33850,19200,27600,533000,38550,146500,182000,30300,262000,15650,97400,76300,14350,27300,24700,40350,4540,108000,19100,12400,137000,91300,39450,11350,195000,242500,39450,27900,94900,77200,257500,49900,77400,232000,165500,108000,358000,91700,35350,417000,42900,33900
27900,96500,252500,42550,94600,44750,91600,151500,46621,134500,97800,7170,429000,19050,126500,119500,38249,86300,3965,555000,39300,7750,228000,31900,13050,55500,54600,243500,122500,38800,285500,32200,46550,74800,24334,5720,83900,203683,27800,6975,7870,300018,49900,243500,153500,196500,11850,38700,146500,53900,52900,73100,178134,72500,45800,313000,1262000,33950,19100,27700,540000,38500,148500,184000,29950,261500,16000,97200,76200,14400,27400,24400,41150,4595,109000,19300,12450,137500,93200,39250,11250,197500,244000,39450,27900,94600,77700,260000,49300,77700,233000,165500,107000,359500,91900,35500,422500,46200,33900
27750,96300,252500,42700,95000,44700,91600,153500,46238,136000,97200,7130,430500,19200,125500,119500,37317,86100,3920,542000,38800,7740,228500,31750,13100,56000,54800,246000,124000,39050,287000,32350,47450,74400,23247,5680,84000,204121,27600,6990,7890,294125,49050,241500,153500,201500,11700,38550,148000,52700,52600,72600,173836,72500,45350,314500,1273000,34350,19300,27650,539000,38350,150000,183500,29900,258500,16200,96900,76200,14550,27300,24550,40550,4645,108500,19500,12300,137500,91800,39650,11350,197000,243500,39200,28000,95400,77500,262000,49250,76800,234500,163000,105000,355500,89200,35450,396500,38500,34400
29100,96000,252000,42550,93600,44700,90100,152000,45568,132000,96700,7110,425500,18650,126000,118500,37120,85600,3915,556000,39300,7720,228500,31450,13000,56000,57400,246500,123500,38550,290500,31850,47150,74700,23205,5630,80700,207194,27650,7000,7860,294616,49400,241000,152000,200000,11700,38600,146500,52200,52200,72200,172403,72500,45450,309000,1266000,34100,19400,27700,533000,38650,150000,179000,30000,257000,16100,97300,76400,14400,27000,24500,40950,4500,107500,19300,12350,136000,93600,39450,11200,194500,243000,38700,28400,96200,76600,261000,48200,77500,227000,163500,103000,353500,89300,34000,395500,38150,34300
29150,94900,252000,42300,93000,45250,89300,152000,45185,129500,96500,7160,427000,18650,124000,118500,37022,85800,3850,552000,39300,7620,227000,31100,13000,56300,58400,248500,123000,38050,287000,32150,47950,74500,23205,5630,81000,203683,28000,6995,7820,292652,49400,242000,149500,198000,11850,38400,146000,51900,51800,70900,169538,72500,45300,307000,1269000,34050,19350,27700,541000,38500,151000,178500,29900,256500,16150,97000,76200,14250,26950,24350,41650,4450,103000,19200,12400,137000,92800,39800,11200,194500,242000,38200,28100,96100,75100,267000,47400,78000,228500,161000,103500,350000,90100,33600,394500,39650,34450
28550,96900,251500,42450,92800,44650,89700,152500,45185,131500,95500,7130,431000,18850,125500,119500,36678,85400,3890,548000,38000,7640,234500,30950,13100,56700,57600,247500,122000,37950,292000,32450,49100,74800,23289,5660,80500,204121,27050,7080,7760,289706,47950,249000,149000,194000,11950,37500,146500,51300,52100,71900,170970,72400,44350,305500,1279000,34350,19600,28050,539000,38400,150500,180500,30100,256500,16350,96300,76400,14200,27200,24300,40450,4455,103000,19000,12250,136000,89900,40550,11250,195000,240500,38350,27550,95900,76500,263500,48800,78500,228500,160000,105000,343500,90700,33550,395000,40500,34100
28950,95700,251000,43150,88600,44450,91000,154500,44898,133000,94200,7140,430000,18750,125000,122000,36384,85100,3860,548000,37800,7600,233500,31000,12950,54700,56600,242500,119000,37550,285500,32100,48700,74700,22996,5740,78200,199732,27300,7085,7740,289706,49050,248000,148000,192500,12050,37650,148000,52000,51400,71500,162374,72000,44400,309000,1272000,34750,19500,27950,542000,38250,151500,179500,30250,260000,16350,96000,75800,14200,27000,24200,39500,4415,104000,19500,12250,135000,89300,39650,11250,196500,241500,38150,27450,94500,74900,260500,47450,78400,227000,161500,106500,343000,90500,33450,395000,40150,34350
29700,96300,253000,43900,87900,44450,91600,155000,45089,133000,92600,7150,428000,18700,125000,122500,36776,85400,3845,550000,37850,7720,229500,32000,13000,54700,58900,243000,121000,36250,291500,32300,49800,75100,22871,5660,80500,199293,27200,7215,7870,292161,50000,254000,148500,195500,12050,38600,149000,54000,51500,71900,164284,72200,45650,303000,1246000,34950,19600,28150,538000,38750,151000,175500,30650,258500,15950,95800,76200,13900,26950,24850,40000,4450,104000,19900,12400,134500,88900,39800,11100,199000,240500,38150,27650,96700,74500,260500,47100,78800,226000,161000,108500,342500,90300,34300,396000,40700,34100
28950,96000,249500,43550,83400,45000,90500,154500,45185,134500,92700,7120,423500,18100,123000,120000,35893,83900,3735,544000,37500,7460,228500,31500,12750,53300,59500,235500,120000,35350,294500,31600,48200,75400,22494,5430,78800,191391,28100,7340,7600,289215,48350,252000,147500,194500,12100,37600,147000,52700,50400,70100,163329,71700,44200,300500,1277000,34750,19400,27750,536000,37750,149500,175500,30000,259500,16050,95900,74600,13900,26900,24750,39550,4370,102500,19500,12100,130000,89400,39100,11100,196500,239500,37400,27650,98200,74200,259500,46250,76300,221000,159000,105000,342000,89200,33900,390000,40750,33800
27500,96000,238000,42250,80600,44250,89200,155000,43366,133500,90000,7090,417000,17650,123000,118500,35794,83700,3715,535000,37250,7410,227500,31100,12500,51900,54600,231000,119000,34650,287000,30900,47350,74800,22285,5440,78200,189196,28450,7360,7520,288724,48000,252000,146000,193000,12050,37000,145000,52500,49350,68200,157121,71200,43650,300500,1255000,34700,19200,27950,545000,37850,150000,174000,29550,259000,15800,95300,74200,13700,26850,25200,38450,4370,101000,19100,11850,129500,89000,38800,10850,195500,241000,36850,28500,97500,71700,256000,45700,74100,215000,159500,106000,341000,88300,32900,389000,40650,33350
27600,95900,236000,42000,80700,44050,87300,157000,42983,131000,88300,6960,406500,17550,122000,118000,36875,81400,3700,526000,37400,7390,226500,30850,12350,51500,55100,231500,120000,34650,287500,30850,46700,74000,22285,5380,78500,191830,27900,7405,7370,292652,48300,253500,145500,192500,12000,36850,146500,52900,49350,67800,159031,71200,44050,299000,1265000,35050,19050,27050,540000,37900,149500,174500,29150,261000,16200,95600,72800,13750,26850,24650,37800,4330,100500,18950,11850,127500,90900,38000,10800,192500,240000,36500,28150,95800,70100,257000,45350,71300,212000,163000,103000,341000,87200,32550,390000,40050,33450
28350,90800,236000,40750,80700,43350,86500,151500,42026,130500,89400,6940,404000,17550,121000,117500,38642,80700,3590,529000,37550,7300,223000,30400,12250,51200,55800,233000,119500,34450,284500,30700,46700,72600,21867,5360,77000,190513,28000,7440,7380,314257,48050,239500,145500,186000,12050,36750,146000,51900,49150,67000,160464,69100,44100,295000,1267000,35050,19050,26200,540000,37950,151500,175000,29400,260000,16100,95500,73000,13800,26750,24150,37950,4235,99800,19000,11900,126000,90400,37900,10850,192500,239000,36200,28600,94900,70200,252000,44850,71800,212000,160000,105500,339000,86500,32700,388000,38800,33050
28400,90800,234500,40700,80600,43800,86100,150500,41834,129000,88400,6930,407000,17600,121500,115500,38642,81300,3695,540000,37650,7240,225500,30400,12250,50400,55900,230500,118500,34650,285500,30450,46650,72500,21658,5410,77700,194025,28450,7520,7390,318186,47000,241000,141500,188500,12000,35800,145500,53200,49100,67600,162374,70200,43750,294500,1267000,35800,19400,26400,539000,38200,153500,174000,29350,257000,14700,95200,72300,13850,26850,24650,37300,4295,101000,19000,11900,127000,92800,37800,11000,192000,238500,35950,28850,95100,71900,246500,45350,70800,211500,163500,105500,344000,87900,32850,395000,39450,33100
28250,90000,231500,40250,78800,43750,87200,149000,41451,125000,88200,6690,411000,17500,122500,115000,38299,80600,4155,543000,37800,7280,222000,30100,12450,49500,55800,229000,118000,35000,278000,30300,46250,70800,20529,5410,76700,194464,28550,7500,7380,315731,46650,239000,142000,186000,12000,35750,147500,52700,48500,69800,160941,70000,43400,293500,1249000,35800,19300,26000,502000,37900,149500,170500,29250,250500,14750,95700,71800,13600,26750,24200,37400,4215,100500,18900,11750,124500,92800,36900,10900,192000,238000,36300,28700,93700,70300,245000,46150,70600,210000,164000,105000,341000,86800,32500,396000,40050,33100
27800,91300,229500,40700,77700,42950,87000,151000,41643,125500,88100,6790,411500,17750,120000,111500,38348,81800,4220,547000,38450,7360,224000,30100,12550,49450,55500,227000,122000,35450,280500,30700,46900,72200,20278,5430,81000,194025,29050,7455,7050,319659,46050,238500,144000,190500,11950,35500,147500,52000,48700,71400,163329,70000,43350,296500,1260000,35900,19000,25900,500000,38150,156000,174500,29550,253500,14500,96300,72000,13550,26800,24050,36600,4265,102500,18700,11750,127000,92900,36850,10900,194500,239000,36400,29250,95900,70500,249500,46100,71500,214500,167000,108000,341500,88700,32150,391500,38700,33200
27950,92400,232500,41350,78700,43000,87300,153500,41260,125000,89700,6840,404000,18100,121000,113500,38544,83700,4250,551000,38100,7260,237000,30100,12550,49900,55700,231000,121500,35800,282000,31550,48350,71800,20446,5460,81800,197098,28550,7415,7090,320150,45850,245500,146500,194000,11900,35700,148000,51700,48350,71900,166672,70500,43450,309500,1266000,35800,18600,26450,485000,38050,157000,172000,30150,256000,15000,97200,72400,13600,26950,23750,36200,4280,101500,18900,11750,130000,90300,39600,10900,197500,242500,36000,28500,95200,71800,248000,47650,72800,219000,166500,107000,343500,88700,32350,394000,37200,34000
27950,93800,234500,40800,80500,42650,88800,154000,41356,123000,88600,6880,409500,18250,121500,112000,38642,83500,4265,556000,37950,7280,234000,29700,12400,50400,57000,232000,121500,35950,283500,31850,48150,72100,20697,5490,82400,196659,27800,7435,7140,317695,45950,246500,147500,192500,11950,36000,148000,51900,48300,72000,167627,70300,43600,309000,1258000,36700,18400,25850,487000,37450,156500,171500,29950,256000,14950,97500,72500,13600,26850,24250,36950,4225,100500,18750,11850,133000,91300,40050,10700,199000,242000,36200,28250,95500,70800,246500,48500,74100,219000,169000,102500,345000,89400,31800,390000,36950,33600
28000,92100,232500,40950,80900,43250,89900,157500,41356,122000,89200,6960,406000,17550,120000,111000,38249,84700,4250,557000,38100,7230,231000,30000,12400,50300,55700,230500,121000,35650,281500,31750,48100,71000,20697,5460,81200,190513,28250,7315,6960,313766,46050,248000,146500,189000,11950,35750,150500,51600,47850,71700,166195,69900,43550,306500,1265000,37300,18250,26350,493000,37400,155500,172000,29350,257500,14700,97800,71600,13400,26950,23650,37100,4200,98900,18800,11750,132500,89600,39300,10800,195500,246000,36100,27900,93600,71400,245000,47450,73100,220000,168000,103000,346000,88000,31300,393500,35850,33250
28700,93800,240000,41750,82800,44550,92100,160000,41643,125000,90800,7040,412000,18000,122000,112000,39379,84300,4325,568000,39150,7340,233000,30550,12600,51300,57200,232500,124000,36250,283000,32300,49000,72300,21240,5570,82100,191830,28450,7280,7070,327024,46550,249000,147500,191500,11950,36300,152000,52000,48650,72000,170493,71000,44500,309000,1290000,37650,18450,26700,499000,38300,157000,173000,30150,260000,14750,98700,72700,13600,27250,24200,37500,4260,101500,18850,11900,135500,92900,39500,10750,199000,246500,36400,27500,94800,70900,251000,46050,74500,222000,170000,104000,345000,89000,31850,399000,36150,34250
