Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock
22650,82200,164500,34100,80600,42250,86300,150500,66800,165000,62300,5440,454000,30050,86000,141500,65100,72100,3350,568000,33900,8810,488000,26700,9120,57500,45600,197000,147000,30500,207000,25900,96000,86000,19100,5290,55100,136000,44300,6065,5160,353500,36150,424000,184000,169500,11000,29300,122000,32350,35600,60400,314500,77200,30200,746000,1432000,23650,13900,23400,865000,24800,353000,314000,22800,242500,12400,86300,49250,11600,23850,18550,28600,3585,106500,11900,8230,78200,79700,56000,10550,167000,229000,31100,19600,91100,102000,223500,86800,94200,175500,129500,145000,232000,151000,27150,768000,83900,28800
22850,83700,166500,34550,81100,42150,84900,153000,66100,163000,61800,5470,450000,28950,87000,141500,63000,70000,3410,569000,34800,8840,469500,27050,9320,58000,46300,201000,144500,30900,206000,26300,87700,82600,18100,5370,53600,137000,44600,6160,5240,355500,36550,420000,163500,167500,11100,29350,117500,33000,35300,57500,311000,77200,30700,680000,1385000,24000,14000,23900,854000,24900,364000,322000,22950,236500,12600,86000,50000,11500,23800,19000,28650,3605,108500,12100,8290,78900,79500,55300,10250,169500,220500,31050,19350,93000,102500,222500,82600,88000,179000,126000,140000,235500,140000,26700,778000,83500,28500
22550,83500,164500,34150,80700,41100,84600,152000,67700,163000,61100,5390,427000,28900,86500,143000,70900,69500,3490,566000,34450,8960,468000,27400,9160,56900,45700,194000,134000,30350,205000,24700,85700,82300,17250,5030,53200,135500,46500,6230,5130,360500,35500,417500,159000,165000,11150,28800,112500,33550,35250,58200,315000,78300,30000,670000,1364000,23450,13950,24000,846000,24750,370500,313500,22450,240500,12450,80100,47400,11350,23700,18650,28300,3575,106000,11950,8160,77200,74200,54900,9960,167500,227000,30700,19200,90800,105000,212500,78900,86200,171000,123500,137500,235000,136000,26800,787000,81800,28850
22550,83800,167000,34750,81600,41150,86700,152500,58500,167000,60000,5440,410500,27200,87100,139500,54600,69700,3455,569000,34250,8540,416000,28250,9120,57300,46150,194000,132500,30800,206500,25150,77500,78200,17350,5030,52100,136500,43650,6300,5160,277500,35500,415000,132000,163000,11150,29200,112000,32300,34800,53600,302000,77900,30200,642000,1354000,23650,13800,23250,846000,25050,370000,311000,22450,229500,12500,80000,47700,11400,23750,18700,28200,3585,105000,12100,8200,77400,75200,53200,9840,167500,225500,29800,19200,90500,104500,208000,75400,82700,169500,122000,137500,234000,132500,26650,735000,82600,27350
22550,81400,167000,33700,81800,39700,83200,151000,58500,165000,59900,5370,413500,25850,86300,138500,49300,69300,3120,568000,33750,8020,414500,26500,8700,56800,45700,192000,127000,30500,206000,24150,78400,74800,17150,5020,51800,135000,43500,6300,5070,271500,35250,414000,129500,160500,11200,29550,109500,31950,34300,51200,299000,74000,29900,635000,1350000,23500,13600,23050,844000,25050,366000,314500,22500,217500,12400,79800,47350,11300,23600,18650,28100,3515,104000,11750,8080,76900,74600,55200,9670,167000,219000,28800,19050,89300,103500,206000,77000,82100,168500,121500,135000,231500,127500,26100,736000,81700,25300
23300,82400,171500,34300,82800,40400,83700,153000,57300,161000,61000,5720,414000,25500,89200,140500,42200,70300,3080,558000,34350,7890,397500,26950,8780,57900,47100,193500,126500,31000,209000,24800,75600,74000,17400,5060,53300,134500,41550,6245,5140,263500,35250,386000,127000,166000,11300,29500,111500,33400,35000,48700,296500,70700,30100,568000,1371000,23950,13850,23650,811000,25350,343500,301000,22850,221500,12600,80900,47550,11450,23800,19200,28300,3515,106000,11900,8110,77900,76700,50700,9960,166500,220500,28950,19100,90500,104500,205500,69900,84600,168500,124500,134000,236500,128000,26950,733000,84000,26050
23800,82200,175500,34000,85300,40700,83700,152000,55700,162000,61500,5670,421500,26100,91000,144500,41900,71500,3125,556000,34650,7460,383500,26700,8800,59000,46600,199000,127500,30900,213500,25400,72600,73400,17400,4970,54200,136500,41550,6260,5240,258000,35950,367000,127500,166000,11300,30100,114500,34050,35450,49350,300000,72100,30950,530000,1385000,24350,13950,23300,825000,25300,332000,294000,22950,227500,12800,82100,48100,11650,23800,20200,28850,3540,108000,12000,8240,78900,77700,51000,10050,169500,220000,29300,19200,91000,105000,213000,69500,82500,170000,125000,133500,236000,125500,28050,736000,84900,27900
23650,81800,178500,33900,83200,39650,84100,155000,56400,162000,61700,5680,433000,25700,90800,144500,41850,70100,3115,557000,34900,7560,385500,26650,8750,59000,46500,201500,125000,30950,208500,25650,72000,74200,17500,4965,53900,139500,42550,6285,5270,263500,36200,366000,131000,163500,11300,29700,112500,34350,35100,49850,301500,72000,31050,527000,1390000,24900,14100,23350,812000,25400,331500,292000,23050,223500,12550,81200,48850,11750,23850,20000,28700,3540,110500,12000,8260,78100,77800,49450,9510,171500,216500,29250,19350,92400,105000,212000,70400,84100,171500,124500,134000,235500,130500,28050,741000,85700,25650
23450,82900,175500,34300,83100,37700,83700,155000,56300,163000,61600,5680,433500,25550,90800,144500,46200,70200,3150,556000,34550,7540,393000,26400,8790,58600,46600,202000,123000,31350,209500,25700,72900,75800,17900,4940,53100,134500,42200,6430,5120,284500,35700,366500,133000,163000,11300,28700,110500,33900,34900,49850,317500,72500,30750,528000,1350000,25450,14150,23550,794000,25300,329500,288000,22750,226500,12400,81200,47100,11600,23700,19800,28050,3560,108500,12000,8300,78000,75600,49650,9500,174000,214000,29550,19150,85800,105000,204000,70400,85900,171500,126000,134500,239500,127500,27950,761000,87200,25700
23300,84100,177000,34550,82800,37700,84300,154500,56700,157000,61200,5650,430500,26600,87700,138000,35550,69900,3155,556000,34700,7540,378000,26450,8850,55600,46100,196000,123500,31500,209000,25950,71500,74300,17600,4940,53800,135000,42950,6495,5090,247000,35450,369500,131000,164500,11300,28750,111000,33800,35050,50000,317000,73600,30500,517000,1346000,24600,14150,23650,785000,25450,326500,284500,22950,226500,12250,80600,46600,11400,23600,18200,28150,3565,106500,12100,8290,78100,74600,49850,9500,173500,208500,29400,19300,84700,105000,203500,69300,87600,171000,127000,132000,233000,125500,28150,754000,86500,25350
