Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal,
111000,120900,111000,119900,116160,126970,140090,156466.67,156552.5,159548,220050.8,191668.6,141863.1,149283.77,158999.46,75.22,1809576,-10893.64,-8090.61,-34900,-31497.52,-0.7978,-0.8687,0.4,0.3166,33.9,36.03,0.2626,0.2438,
121100,121200,115500,116100,116840,123780,138515,155193.33,156359.17,88240,182518.6,191776.6,143048.5,148616.35,158629.48,67.56,1721336,-11023.88,-8677.27,-36900,-32578.02,-0.8772,-0.873,0.4,0.327,37.16,36.26,0.2556,0.2462,
117300,121000,116100,118900,117360,120710,136860,153775,156220.83,65633,139232.8,191188.1,142480.2,146803.23,158197.48,66.89,1786969,-10776.92,-9097.2,-31400,-32342.41,-0.8065,-0.8397,0.4,0.3361,40.46,37.1,0.2923,0.2554,
124500,127500,123000,127200,118560,119180,135220,152728.33,156151.67,182630,140210,196407.4,142134.35,147496.98,158850.37,66.48,1969599,-9798.52,-9237.46,-20900,-30053.93,-0.6152,-0.7275,0.5,0.3566,46.67,39.01,0.3721,0.2788,
126800,130000,124200,124500,121320,118610,133420,151685,156023.33,110630,121336.2,183689,140619.3,146883.78,157854.55,54.69,1858969,-9135.68,-9217.11,-23600,-28763.14,-0.6774,-0.7024,0.5,0.3745,51.8,41.57,0.3602,0.295,
122300,125400,119800,124800,122300,119230,131775,150643.33,155822.5,67279,102882.4,161466.6,140895.65,145617.95,155911.76,60.44,1926248,-8488.33,-9071.35,-23200,-27650.52,-0.6705,-0.6865,0.6,0.4027,48.17,42.89,0.3629,0.3086,
124500,126400,120900,125700,124220,120530,130320,149668.33,155705,81200,101474.4,141996.5,141340.25,145607.95,153748.41,67.86,2007448,-7812.61,-8819.6,-23900,-26900.41,-0.6498,-0.6681,0.7,0.4399,48.06,43.92,0.3576,0.3184,
126000,126000,119300,120000,124440,120900,128670,148740,155573.33,79609,104269.6,121751.2,142898.15,145566.5,153072.92,66.62,1927839,-7648.87,-8585.46,-22500,-26020.33,-0.6984,-0.6833,0.6,0.4599,49.67,45.07,0.3636,0.3275,
121700,122800,116100,116500,122300,120430,126980,147590,155485.83,84493,84642.2,112426.1,143196.6,145171.35,151312.94,66.39,1843346,-7712.62,-8410.89,-13700,-23556.26,-0.6923,-0.6878,0.5,0.4649,53.88,46.84,0.4071,0.3434,
110400,114000,108500,112400,119880,120600,125195,146446.67,155430.83,180232,98562.6,109949.4,148345.75,146923.03,149351.56,62.65,1663114,-8001.74,-8329.06,-6200,-20085.01,-0.8186,-0.7532,0.5,0.4693,57.3,48.93,0.4532,0.3653,
