Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
5080,5080,4905,4930,4919,4878.5,5009,4616.75,4561.38,4229050,5132640.4,6041273.1,9228681.8,8669925.57,9723268.26,53.85,167583495,26.51,59.24,-560,-148.94,-0.6102,-0.5824,0.5,0.4675,40,44.68,0.3486,0.4623
4950,5060,4835,4860,4940,4844.5,5010.25,4637.92,4561.75,3456093,4083792.2,5925309,8541177.15,8604618.78,9643477.91,60.82,164127402,17.24,50.84,-500,-219.15,-0.6355,-0.609,0.5,0.4716,28.55,41.46,0.3603,0.4419
4850,4890,4770,4850,4943,4853,5013.25,4659.42,4562.21,3675029,3886848.4,5587745.2,8225107,8583576.38,9564648.86,64.67,160452373,8.98,42.47,-460,-267.32,-0.6042,-0.6066,0.5,0.4751,29.49,39.06,0.3686,0.4272
4895,4940,4740,4795,4909,4849.5,5018,4677.67,4562.58,4688095,4227091.2,4790501.1,6567749.75,8569502.12,9525784.57,96.78,155764278,-1.98,33.58,-485,-310.86,-0.6615,-0.634,0.4,0.4658,30.91,37.43,0.3634,0.4145
4785,4790,4630,4680,4823,4855.5,5000,4689.67,4559.42,5282964,4266246.2,4849336.9,6335150.3,8485732.07,9385959.32,75.89,150481314,-19.72,22.92,-670,-382.68,-0.7812,-0.7076,0.4,0.4575,24.04,34.75,0.3159,0.3948
4700,4745,4470,4535,4744,4831.5,4964.75,4700.67,4555.88,5242172,4468870.6,4800755.5,6143469.4,8476855.07,9336390.9,58.99,145239142,-44.96,9.34,-665,-439.15,-0.9133,-0.8105,0.3,0.4378,24.05,32.61,0.3168,0.3792
4590,4660,4455,4485,4669,4804.5,4914.5,4706.75,4551.42,7237435,5225139,4654465.6,6029021.55,8449129.28,9304329.82,42.67,138001707,-68.21,-6.17,-280,-407.32,-0.9574,-0.884,0.3,0.4206,24.17,30.92,0.4021,0.3837
4485,4495,4225,4305,4560,4751.5,4861.75,4710,4544.38,8362258,6162584.8,5024716.6,5836723.2,8484884.48,9305706.72,44.71,129639449,-100.01,-24.94,-525,-430.85,-0.9144,-0.8992,0.2,0.393,25.78,29.9,0.3301,0.373
4305,4360,4170,4185,4438,4673.5,4805.5,4710.5,4536.67,7328000,6690565.8,5458828.5,5915296.6,8555946.37,9239349.49,43.85,122311449,-133.36,-46.62,-435,-431.68,-0.9848,-0.942,0.1,0.3564,25.13,28.94,0.3505,0.3685
4190,4395,4190,4250,4352,4587.5,4754,4714.33,4529.67,6878710,7009715,5637980.6,5875256.35,8588895.67,9158408.51,57.59,129190159,-152.78,-67.85,-525,-450.35,-0.9192,-0.9306,0.1,0.3244,25.59,28.27,0.3077,0.3564
4260,4300,3640,3695,4184,4464,4671.25,4712.08,4519.67,15338370,9028954.6,6748912.6,6395092.85,8729339.48,9180161.11,42.27,113851789,-210.53,-96.39,-1060,-572.28,-0.9638,-0.9472,0.1,0.2963,24.36,27.49,0.2211,0.3293
3660,3845,3535,3845,4056,4362.5,4603.5,4712.42,4510.29,20734761,11728419.8,8476779.4,7201044.2,8944245.8,9294774.03,68.87,134586550,-241.41,-125.39,-990,-655.82,-0.8092,-0.8782,0.2,0.2843,16.1,25.21,0.2487,0.3132
3860,3975,3765,3920,3979,4269.5,4561.25,4711.67,4502.38,12880361,12632040.4,9397312.6,7492528.9,8970016.88,9351407.02,91.54,147466911,-256.87,-151.69,-1045,-733.66,-0.7631,-0.8206,0.3,0.2862,22.41,24.65,0.2272,0.296
3935,4065,3875,3890,3920,4179,4514.25,4706.58,4496.08,12951702,13756780.8,10223673.3,7507087.2,9007098.15,9384947.32,64.65,134515209,-268.44,-175.04,-1220,-830.93,-0.7702,-0.7954,0.3,0.288,26.37,25,0.1611,0.269
3890,3895,3730,3780,3826,4089,4472.25,4695.83,4488.83,5405485,13462135.8,10235925.4,7542631.15,8827538.17,9361825.51,64.15,129109724,-283.23,-196.68,-1150,-894.74,-0.8393,-0.8174,0.3,0.2895,26.4,25.28,0.1676,0.2487
