Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
43350,44000,42700,43000,43210,43995,42205,36430,32422.92,295567,444139.4,531409.4,747263.9,608745.18,585798.72,251.64,26040314,1753.33,2091.12,2000,4331.61,-0.757,-0.6094,0.5,0.6364,59.11,68.3,0.5917,0.6987
43700,43700,42850,43150,43130,43855,42505,36662.5,32555.83,279673,400531.4,502267.3,726956.75,603819.23,584204.61,307.91,26319987,1632,1999.3,650,3595.29,-0.7358,-0.6726,0.5,0.6194,52.59,65.16,0.534,0.6658
43600,45950,42850,45600,43490,43825,42922.5,36931.67,32707.5,712358,451278.8,497509.5,738817.3,608658.85,588449.34,314.57,27032345,1713.78,1942.19,3350,3546.23,-0.2736,-0.4731,0.5,0.6044,63.4,64.81,0.6426,0.6611
45400,45600,44050,44050,43810,43730,43175,37173.33,32832.5,536749,435417.2,473832.4,715286.35,609516.7,588987.01,248.83,26495596,1634.67,1880.69,1400,3116.98,-0.5941,-0.5336,0.5,0.5914,63.15,64.48,0.5543,0.6398
44050,44600,43200,43400,43840,43660,43387.5,37412.5,32930.42,654442,495757.8,485112.8,711007.6,614808.65,581273.03,199.03,25841154,1502.21,1804.99,400,2573.59,-0.7228,-0.6282,0.5,0.58,54.71,62.52,0.5152,0.6148
43700,45550,43300,45300,44300,43755,43642.5,37687.5,33044.58,843773,605399,524769.2,680798.7,624978.53,584063.22,186.32,26684927,1532.88,1750.57,750,2208.87,-0.3465,-0.4874,0.5,0.57,56.43,61.3,0.5277,0.5974
45400,45450,43900,44100,44490,43810,43797.5,37939.17,33142.5,583219,666108.2,533319.8,602286.65,630177.57,584563,125.63,26101708,1443.72,1689.2,-1800,1407.1,-0.5842,-0.5358,0.5,0.5612,47.25,58.49,0.4328,0.5645
43950,44500,43100,43650,44100,43795,43855,38180,33239.17,461858,616008.2,533643.5,566051.4,634013.05,585579.03,95.17,25639850,1321.51,1615.66,-1350,855.68,-0.5823,-0.559,0.4,0.5411,38.12,54.42,0.4479,0.5412
44150,44400,42800,43350,43960,43885,43910,38418.33,33330,503585,609375.4,522396.3,549240.8,637561.08,587925.1,101.03,25136265,1186.77,1529.88,-750,534.54,-0.6582,-0.6086,0.4,0.5234,38.4,51.22,0.4696,0.5269
43250,43650,42050,42350,43750,43795,43895,38639.17,33410,585996,595686.2,545722,551882.25,642885.78,589981.93,82.43,24550269,987.91,1421.49,-2000,27.63,-0.9114,-0.76,0.3,0.4955,37.77,48.53,0.4237,0.5062
