Price,William's %R,Roc,Momentum,RSI,CCI,ADX,TRIX,MACD,OBV,_TSF_,ATR,MFI
266500,-0.4286,99.81,-1000,0.4615,8,0.2428,-0.08,-1190.23,-953142,264335.16,2642.86,41.81
267500,-0.2857,100.19,0,0.5,136.75,0.2534,-0.07,-937.67,-898048,265373.63,2607.14,48.63
267000,-0.3571,100.95,0,0.5,120,0.2625,-0.06,-768.99,-923284,266181.32,2535.71,47.08
268000,-0.2143,100.94,1000,0.5333,158.23,0.276,-0.05,-548.3,-899355,267274.73,2500,45.93
269000,-0.1875,102.09,4500,0.6667,170.94,0.3065,-0.04,-289.37,-812155,268181.32,2428.57,56.34
269500,-0.125,102.08,4000,0.6538,146.43,0.3328,-0.02,-43.33,-774009,269258.24,2428.57,61.31
267500,-0.375,101.33,4000,0.6538,84.76,0.33,-0.01,-9.61,-843602,269280.22,2428.57,60.16
269000,-0.2,101.7,5000,0.6786,78.88,0.3275,0,136.58,-810863,269686.81,2392.86,67.22
267000,-0.4667,100.95,3000,0.5938,6.4,0.3116,0.01,90.01,-899885,269357.14,2535.71,58.99
271500,-0.2917,102.07,7000,0.675,190.05,0.3603,0.02,411.48,-695628,270302.2,2714.29,60.31
273000,-0.1667,103.02,8500,0.6977,164.86,0.4026,0.03,778.31,-654648,271445.05,2678.57,67.42
271500,-0.2917,102.84,5500,0.6279,125.47,0.4392,0.04,937.18,-682339,272142.86,2607.14,63.48
271000,-0.3333,101.69,6000,0.6429,87.4,0.4589,0.05,1011.09,-714428,272340.66,2500,64.57
271000,-0.3478,101.31,7000,0.675,69.47,0.476,0.06,1057.47,-714428,272164.84,2428.57,66.44
271000,-0.4444,101.5,4500,0.6286,46.48,0.4766,0.07,1081.76,-714428,272197.8,2285.71,63.33
272000,-0.3529,101.49,4500,0.6286,74.34,0.4902,0.07,1168.23,-684825,272543.96,2250,62.1
271500,-0.4375,100.93,4500,0.6286,52.89,0.502,0.08,1182.78,-702151,272510.99,2250,62.74
271500,-0.4375,100.74,3500,0.6061,53.63,0.5122,0.08,1180.71,-702151,272505.49,2214.29,63.07
270500,-0.5625,101.12,1500,0.5455,16.89,0.487,0.08,1085.85,-728697,272274.73,2142.86,55.84
269000,-0.75,100,-500,0.4857,-76.15,0.435,0.08,879.5,-783639,271653.85,2250,49
268500,-0.8125,100.56,1000,0.5313,-110.27,0.3981,0.07,667.92,-833674,270554.95,2250,50.42
268000,-0.7778,98.71,-1000,0.4667,-132.68,0.3815,0.06,454.66,-903753,269543.96,2357.14,43.21
269000,-0.6667,98.53,2000,0.5714,-88.51,0.367,0.05,362.16,-872987,268500,2285.71,51.7
273500,-0.25,100.74,2000,0.5714,163.46,0.3766,0.05,644.54,-667155,269467.03,2214.29,51.93
273500,-0.25,100.92,500,0.52,140.65,0.3849,0.05,858.43,-667155,270631.87,2142.86,43.63
273500,-0.25,100.92,2000,0.5909,105,0.3737,0.05,1016.22,-667155,271516.48,2142.86,42.34
271500,-0.45,100.18,500,0.52,52.74,0.3548,0.05,968.73,-715380,271675.82,2178.57,41.39
273000,-0.3,100.37,2000,0.5714,59.21,0.3291,0.06,1040.14,-681604,272247.25,2285.71,45.03
273500,-0.25,100.74,2500,0.5862,82.41,0.3137,0.06,1124.11,-635657,272895.6,2321.43,49.56
274500,-0.15,101.1,2500,0.5862,99.94,0.3073,0.06,1256.87,-602519,273923.08,2250,49.81
274000,-0.2,101.29,2500,0.5862,75.59,0.2898,0.07,1306.67,-654487,274637.36,2250,47.63
274000,-0.2,101.86,2500,0.5862,80.67,0.2829,0.07,1330.8,-654487,275269.23,2250,48.88
275500,-0.05,102.61,5000,0.6667,91.5,0.2852,0.08,1454.2,-594637,276071.43,2214.29,54.01
275500,-0.05,102.8,6500,0.7407,100.98,0.2951,0.08,1534.3,-594637,276445.05,2071.43,61.26
275500,-0.05,102.42,7000,0.7692,75.07,0.2624,0.08,1579.58,-594637,276516.48,2035.71,59.27
276000,0,100.91,8000,0.8077,117.36,0.2443,0.09,1636.94,-485672,276412.09,1892.86,68.36
277000,0,101.28,8000,0.8077,184.46,0.2468,0.09,1742.99,-400317,276505.49,1892.86,70.15
276000,-0.3333,100.91,2500,0.6316,113.53,0.2312,0.1,1726.45,-604853,276840.66,1678.57,49.41
280000,0,103.13,6500,0.7407,181.61,0.2098,0.1,2012.9,-407520,278236.26,1892.86,61.53
277000,-0.3684,101.47,3500,0.6061,135.28,0.1991,0.11,1975.07,-555619,278560.44,2000,56.4
278500,-0.2105,101.83,7000,0.7188,115.37,0.1795,0.11,2042.59,-475300,278846.15,2071.43,58.69
278000,-0.3125,101.28,5000,0.6667,97.05,0.1625,0.11,2032.32,-509772,279021.98,2000,57.48
277500,-0.4,101.28,4000,0.6333,64.52,0.1457,0.11,1961.23,-540596,278978.02,2000,54.17
277500,-0.4,101.28,3000,0.6071,48.59,0.131,0.11,1883.18,-540596,278978.02,2000,51.86
278500,-0.2857,101.09,4500,0.6552,71.23,0.1226,0.11,1880.34,-521245,279076.92,1964.29,55.22
278000,-0.3571,100.91,4000,0.6333,47.23,0.112,0.11,1816.81,-561156,278884.62,2000,51.09
277500,-0.4286,100.73,2000,0.5714,30.24,0.1027,0.1,1706.44,-584368,278681.32,1928.57,47.11
278000,-0.3571,100.72,2500,0.5862,23.43,0.1102,0.1,1640.4,-530298,278554.95,1928.57,43.1
277500,-0.5,100.18,2000,0.5667,10.14,0.0977,0.1,1530.09,-570245,278203.3,1892.86,46.89
278000,-0.4167,100.72,2000,0.5667,42.42,0.0869,0.09,1466.11,-534660,278016.48,1892.86,42.09
277500,-0.5,99.11,500,0.5172,-53.33,0.0775,0.08,1359.39,-564209,277796.7,1857.14,33.83
282500,-0.0667,101.99,6500,0.6757,399.33,0.1565,0.08,1659.14,-346181,278813.19,1964.29,61.94
286000,-0.1364,102.69,6000,0.6667,338.3,0.242,0.09,2154.29,-114491,281318.68,2000,63.84
286000,-0.1364,102.88,9000,0.8,200.44,0.3161,0.11,2517.67,-114491,283098.9,1964.29,78.26
284000,-0.3333,102.34,5500,0.6774,133.72,0.3804,0.12,2614.14,-180889,284274.73,1928.57,70.91
285000,-0.2381,102.7,7000,0.7188,105.14,0.4361,0.13,2739.7,-143890,285467.03,1928.57,70.91
284500,-0.2857,102.15,7000,0.7188,84.07,0.4843,0.14,2766.97,-203448,286197.8,1928.57,68.07
282500,-0.4762,101.62,5000,0.6389,48.4,0.4759,0.14,2597.25,-276652,286126.37,2035.71,63.41
282500,-0.4762,101.8,4000,0.6176,32.06,0.4545,0.14,2434.69,-276652,286065.93,2107.14,57.4
282500,-0.4762,101.62,4500,0.6364,19.13,0.4359,0.13,2279.58,-276652,285785.71,2071.43,56.49
282500,-0.4762,101.8,5000,0.6563,0.62,0.3795,0.13,2132.07,-276652,285269.23,2214.29,53.53
284000,-0.3333,102.16,6000,0.6765,33.05,0.3504,0.12,2111.87,-223354,285104.4,2250,56.11
283500,-0.4,102.16,6000,0.6765,25.02,0.3252,0.12,2032.08,-291853,284510.99,2214.29,56.11
281500,-0.6,99.65,3500,0.5946,-41.89,0.3045,0.11,1786.87,-363809,283236.26,2357.14,50.53
281500,-0.6316,98.43,4000,0.6111,-107.07,0.2866,0.1,1574.4,-363809,281758.24,2321.43,50.02
284500,-0.4286,99.48,2000,0.5625,52.57,0.3017,0.1,1629.3,-66827,281884.62,2285.71,53.78
287500,-0.0667,101.23,1500,0.5484,155.11,0.3264,0.09,1893.06,65459,283417.58,2214.29,49.12
285500,-0.4444,100.18,-500,0.4857,132.8,0.3575,0.09,1918.59,-112384,284329.67,2392.86,41.56
285000,-0.5,100.18,1000,0.5313,76.37,0.3845,0.09,1876.85,-192272,284763.74,2428.57,41.08
284000,-0.6111,100.53,-1000,0.4688,28.55,0.3955,0.09,1742.98,-270392,285054.95,2464.29,38.52
283000,-0.7222,100.18,-1500,0.4545,-43.93,0.3628,0.09,1538.47,-357966,285005.49,2535.71,37.7
282500,-0.7778,100,0,0.5,-64.22,0.3345,0.08,1320.82,-404138,284510.99,2464.29,38.51
282500,-0.7778,100,0,0.5,-38.53,0.3242,0.07,1135.24,-404138,284016.48,2464.29,43.41
282000,-0.8333,99.3,-500,0.4839,-85.23,0.2853,0.06,937.02,-480018,283379.12,2571.43,42.63
281500,-0.8889,99.29,-1000,0.4688,-91.21,0.2517,0.05,731.16,-517122,282615.38,2500,43.78
282000,-0.8333,100.18,-2000,0.4333,-71.75,0.2225,0.04,601.42,-475310,282291.21,2500,43.24
280500,-0.9474,99.64,-3000,0.4063,-94.55,0.2097,0.03,373.26,-575811,281516.48,2607.14,39.98
280000,-0.9048,98.42,-1500,0.4483,-122.01,0.2163,0.02,150.37,-679606,280346.15,2535.71,39.07
279500,-0.9524,97.22,-2000,0.4333,-128.41,0.222,0,-65.86,-723717,279082.42,2571.43,38.95
277000,-0.8621,97.02,-7500,0.2414,-135.86,0.2269,-0.01,-433.96,-965819,277697.8,2857.14,17.81
277500,-0.7742,97.37,-10000,0.0833,-184.34,0.2498,-0.02,-677.52,-833680,277230.77,2857.14,7.54
279000,-0.6154,98.24,-6500,0.2174,-105.87,0.2364,-0.04,-740.96,-764048,277170.33,2642.86,14.03
278000,-0.6522,98.23,-7000,0.2083,-74.75,0.2212,-0.05,-862,-892525,276950.55,2642.86,23.78
279000,-0.5,98.76,-5000,0.2917,-69.41,0.2081,-0.05,-867.23,-844780,277071.43,2607.14,24.41
279500,-0.45,98.94,-3500,0.3478,-17.68,0.2312,-0.06,-821.56,-761417,277324.18,2607.14,31.41
279500,-0.45,99.11,-3000,0.3636,-10.76,0.2513,-0.06,-776.42,-761417,277604.4,2607.14,32.67
