Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
21350.00,22100.00,21350.00,21850.00,21050.00,20505.00,21192.50,14881.67,7440.83,750901.00,1070676.00,937974.60,1026329.25,757252.10,378626.05,60.89,4480925.00,-222.04,-336.64,-200.00,-1353.13,-0.16,-0.25,0.40,0.40,41.53,37.87,0.49,0.40
22000.00,22650.00,21900.00,22100.00,21570.00,20670.00,21150.00,15250.00,7625.00,737325.00,1082917.40,952115.70,999613.75,769540.85,384770.43,74.05,5218250.00,-117.37,-292.78,-250.00,-1132.50,-0.12,-0.18,0.50,0.41,43.16,38.93,0.49,0.42
22350.00,22700.00,21650.00,21800.00,21790.00,20855.00,21095.00,15613.33,7806.67,531245.00,960600.80,938851.20,1008246.90,778394.93,389197.47,72.95,4687005.00,-57.96,-245.82,350.00,-836.00,-0.19,-0.19,0.50,0.43,43.88,39.92,0.52,0.44
21850.00,22600.00,21250.00,22300.00,21860.00,21090.00,21110.00,15985.00,7992.50,653967.00,707334.60,849879.40,1005652.50,789294.38,394647.19,83.62,5340972.00,29.13,-190.83,2050.00,-258.80,-0.09,-0.14,0.60,0.45,63.59,44.65,0.63,0.48
22300.00,22850.00,22000.00,22300.00,22070.00,21380.00,21122.50,16356.67,8178.33,665735.00,667834.60,862576.40,1023233.30,800389.97,400194.98,81.32,5340972.00,97.03,-133.26,1600.00,112.96,-0.11,-0.13,0.60,0.47,61.25,47.97,0.61,0.50
22250.00,23200.00,21500.00,23050.00,22310.00,21680.00,21170.00,16740.83,8370.42,885136.00,694681.60,882678.80,1044132.10,815142.23,407571.12,85.03,6226108.00,208.95,-64.82,2600.00,610.37,-0.03,-0.08,0.60,0.48,64.43,51.26,0.67,0.54
23250.00,25000.00,23050.00,24500.00,22790.00,22180.00,21292.50,17149.17,8574.58,1973011.00,941818.80,1012368.10,1129878.95,848025.75,424012.88,104.91,8199119.00,409.93,30.13,4550.00,1398.29,-0.07,-0.07,0.70,0.51,73.66,55.74,0.76,0.58
24500.00,24800.00,23950.00,24450.00,23320.00,22555.00,21397.50,17556.67,8778.33,924809.00,1020531.60,990566.20,1161290.90,863439.23,431719.62,94.31,7274310.00,558.73,135.85,4500.00,2018.63,-0.09,-0.08,0.60,0.52,83.98,61.39,0.76,0.62
24650.00,24900.00,23850.00,24800.00,23820.00,22840.00,21565.00,17970.00,8985.00,1087165.00,1107171.20,907252.90,1175192.75,881558.65,440779.33,110.91,8361475.00,696.87,248.06,5400.00,2694.91,-0.03,-0.06,0.60,0.53,84.88,66.09,0.81,0.66
24800.00,26100.00,24500.00,25000.00,24360.00,23215.00,21802.50,18386.67,9193.33,940748.00,1162173.80,915004.20,959969.10,897237.78,448618.89,225.49,9302223.00,813.10,361.07,4950.00,3145.93,-0.16,-0.11,0.70,0.55,85.40,69.95,0.80,0.68
25250.00,25650.00,24450.00,25250.00,24800.00,23555.00,22030.00,18807.50,9403.75,591248.00,1103396.20,899038.90,918506.75,907091.92,453545.96,211.43,9893471.00,914.85,471.82,5750.00,3666.74,-0.13,-0.12,0.70,0.57,84.93,72.95,0.87,0.72
24750.00,25150.00,23850.00,24050.00,24710.00,23750.00,22210.00,19208.33,9604.17,874607.00,883715.40,912767.10,932441.40,921668.70,460834.35,201.89,9018864.00,888.42,555.14,3350.00,3603.39,-0.40,-0.26,0.60,0.57,77.64,73.89,0.71,0.72
24250.00,24350.00,23450.00,24000.00,24620.00,23970.00,22412.50,19608.33,9804.17,802336.00,859220.80,939876.20,939363.70,935040.97,467520.48,197.46,8216528.00,853.59,614.83,2050.00,3292.71,-0.41,-0.33,0.60,0.58,68.78,72.86,0.65,0.71
24000.00,24500.00,23600.00,24450.00,24550.00,24185.00,22637.50,20015.83,10007.92,363490.00,714485.80,910828.50,880353.95,941099.13,470549.57,217.59,8580018.00,852.48,662.36,3200.00,3274.17,-0.34,-0.34,0.60,0.58,74.61,73.21,0.75,0.72
24500.00,24700.00,23900.00,24100.00,24370.00,24365.00,22872.50,20417.50,10208.75,338794.00,594095.00,878134.40,870355.40,946745.70,473372.85,225.73,8241224.00,813.97,692.68,2250.00,3069.34,-0.41,-0.37,0.60,0.58,73.80,73.33,0.68,0.71
23900.00,24700.00,23700.00,24550.00,24230.00,24515.00,23097.50,20826.67,10413.33,379901.00,551825.60,827610.90,855144.85,953077.38,476538.69,220.04,8621125.00,810.42,716.23,2450.00,2945.47,-0.32,-0.35,0.60,0.59,73.05,73.27,0.69,0.71
24150.00,24900.00,24000.00,24350.00,24290.00,24500.00,23340.00,21232.50,10616.25,1524744.00,681853.00,782784.20,897576.15,978489.78,489244.89,189.88,7096381.00,782.45,729.47,2550.00,2866.38,-0.36,-0.35,0.50,0.57,79.83,74.58,0.70,0.71
24300.00,25600.00,24250.00,24800.00,24450.00,24535.00,23545.00,21645.83,10822.92,671319.00,655649.60,757435.20,874000.70,989678.43,494839.22,182.27,7767700.00,787.51,741.08,2500.00,2793.10,-0.28,-0.32,0.60,0.58,80.98,75.86,0.70,0.70
24900.00,25150.00,23950.00,24200.00,24400.00,24475.00,23657.50,22049.17,11024.58,389085.00,660768.60,687627.20,797440.05,996163.18,498081.59,142.32,7378615.00,734.65,739.79,1900.00,2614.48,-0.41,-0.37,0.50,0.57,77.30,76.15,0.64,0.69
24400.00,24800.00,23800.00,23800.00,24340.00,24355.00,23785.00,22445.83,11222.92,325921.00,658194.00,626144.50,770574.35,1001595.20,500797.60,154.97,7052694.00,652.94,722.42,750.00,2241.58,-0.75,-0.56,0.40,0.55,73.41,75.60,0.56,0.66
23750.00,24500.00,23750.00,24450.00,24320.00,24275.00,23915.00,22515.83,11426.67,390217.00,660257.20,606041.40,752540.15,981215.30,504049.41,149.00,7442911.00,633.34,704.61,-50.00,1783.27,-0.62,-0.59,0.40,0.53,69.09,74.30,0.50,0.63
24550.00,26500.00,24550.00,26200.00,24690.00,24490.00,24120.00,22609.17,11645.00,1837431.00,722794.60,702323.80,807545.45,1000802.72,519361.33,167.20,9280342.00,750.37,713.76,1750.00,1776.61,-0.10,-0.34,0.50,0.53,72.03,73.85,0.62,0.63
26150.00,26400.00,25300.00,25850.00,24900.00,24675.00,24322.50,22696.67,11860.42,688444.00,726219.60,690934.60,815405.40,997271.07,525098.37,162.97,8591898.00,805.59,732.13,1050.00,1631.29,-0.21,-0.28,0.50,0.52,71.05,73.29,0.57,0.62
26100.00,26150.00,25050.00,25300.00,25120.00,24760.00,24472.50,22761.67,12071.25,577936.00,763989.80,712379.20,811603.85,991753.27,529914.50,139.43,8013962.00,795.79,744.86,300.00,1365.03,-0.39,-0.34,0.40,0.51,63.89,71.41,0.52,0.60
24800.00,25550.00,24750.00,25500.00,25460.00,24900.00,24632.50,22812.50,12283.75,447780.00,788361.60,723277.80,800706.10,973112.67,533646.00,148.41,8461742.00,795.00,754.89,250.00,1142.03,-0.33,-0.33,0.50,0.51,64.84,70.09,0.52,0.58
25500.00,25750.00,25150.00,25250.00,25620.00,24970.00,24742.50,22855.83,12494.17,284319.00,767182.00,713719.60,770665.25,931315.28,536015.32,128.99,8177423.00,765.38,756.99,1200.00,1153.62,-0.41,-0.37,0.40,0.49,72.11,70.50,0.59,0.58
25300.00,25700.00,24950.00,25450.00,25470.00,25080.00,24790.00,22897.50,12706.25,307675.00,461230.80,592012.70,687398.45,922486.80,538579.28,104.25,8485098.00,749.41,755.47,1450.00,1212.90,-0.36,-0.37,0.50,0.49,75.97,71.59,0.61,0.59
25700.00,26400.00,25200.00,26400.00,25580.00,25240.00,24887.50,22951.67,12926.25,582692.00,440080.40,583150.00,670292.60,923833.03,543435.05,130.89,9067790.00,804.14,765.20,1950.00,1360.32,-0.04,-0.20,0.50,0.49,76.67,72.61,0.63,0.60
26650.00,26700.00,25200.00,25200.00,25560.00,25340.00,24907.50,22971.67,13136.25,570460.00,438585.20,601287.50,644457.35,917412.50,548188.88,102.13,8497330.00,742.12,760.59,1100.00,1308.25,-0.50,-0.35,0.50,0.50,70.84,72.25,0.57,0.59
25600.00,26500.00,25550.00,26500.00,25760.00,25610.00,24982.50,23011.67,13357.08,847320.00,518493.20,653427.40,639785.95,915041.67,555249.88,100.67,9344650.00,788.78,766.23,1950.00,1436.60,-0.07,-0.21,0.60,0.51,72.42,72.29,0.61,0.59
26350.00,26550.00,25400.00,25950.00,25900.00,25760.00,25017.50,23055.00,13573.33,530376.00,567704.60,667443.30,636742.35,905012.18,559669.68,84.38,8814274.00,772.48,767.48,1600.00,1469.28,-0.25,-0.23,0.50,0.51,63.03,70.44,0.59,0.59
26050.00,26050.00,25100.00,25350.00,25880.00,25675.00,25082.50,23105.83,13784.58,411723.00,588514.20,524872.50,613598.15,885428.12,563100.71,90.44,8402551.00,703.04,754.59,550.00,1285.43,-0.46,-0.34,0.40,0.49,56.92,67.73,0.53,0.58
25550.00,25800.00,24500.00,25800.00,25760.00,25670.00,25172.50,23169.17,13999.58,607668.00,593509.40,516794.90,603864.75,874755.53,568164.61,114.07,9010219.00,676.52,738.97,1600.00,1348.34,-0.31,-0.32,0.50,0.49,55.36,65.26,0.59,0.58
