Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
88620,89801,86257,86650,90274,91967.7,92066.2,63944.12,31972.06,41091,36735,52405.2,60907.25,40063.33,20031.67,105.47,336962,959.69,1947.5,-8666,392.37,-0.9644,-0.8435,0.3,0.4035,38.79,59.85,0.2608,0.4982
84681,86257,84681,85863,89013.6,91140.6,91928.35,65375.17,32687.58,39722,40563,51949.9,61129.05,40725.37,20362.68,104.69,297240,475.66,1653.13,-8665,-1419.11,-0.9062,-0.8749,0.2,0.3781,39.35,55.75,0.2609,0.4507
87438,88226,86257,87044,87910.8,90628.5,91888.95,66825.9,33412.95,66169,49473.8,51066.4,60655.8,41828.18,20914.09,132.55,363409,185.24,1359.55,-7878,-2710.88,-0.8125,-0.8437,0.3,0.3683,41.83,52.97,0.2916,0.4189
86257,87832,84681,85075,86808,89683.2,91692,68243.82,34121.91,45593,50487.8,46172.9,59340,42588.07,21294.03,109.22,317816,-201.49,1047.34,-7877,-3744.11,-0.9687,-0.9062,0.2,0.3473,41.6,50.69,0.2916,0.3934
84681,85469,82318,83106,85547.6,88541,91317.85,69628.92,34814.46,41028,46720.6,41547,55853.85,43271.87,21635.93,83.65,276788,-659.26,706.02,-9452,-4885.69,-0.9474,-0.9268,0.2,0.3289,41.79,48.91,0.2692,0.3686
83500,84287,82318,82318,84681.2,87477.6,90667.95,71000.88,35500.44,43583,47219,41977,49656,43998.25,21999.13,52.35,233205,-1073.25,350.17,-11816,-6271.75,-1,-0.9634,0.2,0.3128,35.69,46.27,0.1999,0.3349
82318,84681,81136,83500,84208.6,86611.1,90077.15,72392.55,36196.28,49921,49258.8,44910.9,48333.9,44830.27,22415.13,57.52,283126,-1291.09,21.92,-8665,-6750.4,-0.8536,-0.9085,0.3,0.3112,44.03,45.82,0.2708,0.3221
84681,85469,83106,83893,83578.4,85744.6,89545.4,73790.77,36895.38,30681,42161.2,45817.5,47595,45341.62,22670.81,67.52,313807,-1415.69,-265.6,-10635,-7527.32,-0.8293,-0.8689,0.3,0.3098,37.58,44.17,0.186,0.2948
83893,85469,82712,84681,83499.6,85153.8,89033.35,75202.12,37601.06,32885,39619.6,45053.7,47596.85,45889.7,22944.85,67.53,346692,-1434.32,-499.35,-9847,-7991.26,-0.7353,-0.8021,0.4,0.3211,30.65,41.47,0.2222,0.2803
84681,85863,84287,85469,83972.2,84759.9,88659.2,76626.6,38313.3,36384,38690.8,42705.7,47516.75,46496.1,23248.05,79.23,383076,-1369.71,-673.42,-7483,-7889.6,-0.6666,-0.7344,0.5,0.3434,37.29,40.63,0.279,0.2801
